Fishes	Worm eels & snake eels	"Stargazer Snake Eel, Stargazer Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Brachysomophis	cirrocheilos 																																																																										
Fishes	Worm eels & snake eels	"Crocodile Snake Eel, Crocodile Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Brachysomophis	crocodilinus 																																																																										
Fishes	Worm eels & snake eels	Henshaw's Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Brachysomophis	henshawi 																																																																										
Fishes	Worm eels & snake eels	"Black-striped Snake Eel, Blackstriped Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Callechelys	catostoma 																																																																										
Fishes	Worm eels & snake eels	"Marbled Snake Eel, Marbled Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Callechelys	marmorata 																																																																										
Fishes	Worm eels & snake eels	"Fringe-lipped Snake Eel, Fringe-lipped Snake-eel, Fringelip Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Cirrhimuraena	calamus 																																																																										
Fishes	Worm eels & snake eels	"Finned Snake Eel, Finned Worm Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Echelus	uropterus 																																																																										
Fishes	Worm eels & snake eels	Vulture Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ichthyapus	vulturis 																																																																										
Fishes	Worm eels & snake eels	"Banded Snake Eel, Culverin, Halfbanded Snake-eel, Saddled Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Leiuranus	semicinctus 																																																																										
Fishes	Worm eels & snake eels	Convict Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Leiuranus	versicolor 																																																																										
Fishes	Worm eels & snake eels	"Half-banded Snake-eel, Halfband Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Malvoliophis	pinguis 																																																																										
Fishes	Worm eels & snake eels	"Snake Eels, Worm Eels"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Muraenichthys	thompsoni 																																																																										
Fishes	Worm eels & snake eels	"Harlequin Snake Eel, Harlequin Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Myrichthys	colubrinus 																																																																										
Fishes	Worm eels & snake eels	"Ocellate Snake Eel, Ocellated Snake-eel, Spotted Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Myrichthys	maculosus 																																																																										
Fishes	Worm eels & snake eels	Ordinary Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Myrophis	microchir 																																																																										
Fishes	Worm eels & snake eels	Gaper Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Neenchelys	retropinna 																																																																										
Fishes	Worm eels & snake eels	"Black-finned Snake-eel, Blackfin Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophichthus	altipennis 																																																																										
Fishes	Worm eels & snake eels	"Purple-banded Snake-eel, Purplebanded Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophichthus	bonaparti 																																																																										
Fishes	Worm eels & snake eels	"Blacksaddle Snake Eel, One-banded Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophichthus	cephalozona 																																																																										
Fishes	Worm eels & snake eels	Evermann's Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophichthus	lithinus 																																																																										
Fishes	Worm eels & snake eels	"Derby Snake-eel, Olive Snake Eel, Olive Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophichthus	rutidoderma 																																																																										
Fishes	Worm eels & snake eels	Manetail Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophichthus	urolophus 																																																																										
Fishes	Worm eels & snake eels	"Giant Snake Eel, Serpent Eel, Snake Eel, Snipe Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Ophisurus	serpens 																																																																										
Fishes	Worm eels & snake eels	"Flappy Snake Eel, Flappy Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Phyllophichthus	xenodontus 																																																																										
Fishes	Worm eels & snake eels	"Estuary Snake Eel, Estuary Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Pisodonophis	boro 																																																																										
